,Price,Local,Surface,Bathroom,Floor
566,€ 395.000,5 ,120,2 ,Piano terra
567,€ 460.000,3 ,100,2 ,4
568,€ 289.000,2 ,60,1 ,Piano terra
569,€ 1.100.000,5 ,195,3 ,4
571,€ 850.000,5 ,287,3 ,3
572,€ 620.000,3 ,119,1 ,2
573,€ 369.000,5+ ,130,3 ,Ultimo
574,€ 540.000,4 ,150,2 ,Piano rialzato
575,€ 508.000,3 ,130,2 ,6
576,€ 241.000,3 ,100,2 ,1
577,€ 180.000,3 ,72,2 ,Piano terra
578,PREZZO SU RICHIESTA,5+ ,543,3+ ,1
579,€ 1.070.000,5+ ,200,2 ,3
580,€ 185.000,2 ,45,1 ,Piano terra
581,€ 220.000,3 ,116,1 ,1
582,€ 450.000,4 ,134,1 ,Ultimo
583,€ 410.000,5 ,141,2 ,1
584,€ 68.000,2 ,20,1 ,Piano terra
585,€ 169.000,2 ,80,1 ,Piano terra
586,€ 189.000,3 ,79,1 ,1
588,€ 115.000,2 ,58,1 ,3
589,€ 215.000,3 ,67,1 ,1
590,€ 359.000,4 ,130,3 ,3
591,€ 269.000,4 ,131,2 ,Ultimo
593,€ 349.000,3 ,100,1 ,2
594,€ 279.000,3 ,110,1 ,Piano terra
595,€ 180.000,2 ,65,1 ,4
596,€ 210.000,3 ,65,1 ,1
597,€ 570.000,4 ,140,2 ,2
598,PREZZO SU RICHIESTA,4 ,130,1 ,4
599,€ 1.090.000,5+ ,197,2 ,4
600,€ 186.000,3 ,63,1 ,1
601,€ 149.000,2 ,47,1 ,1
602,€ 190.000,5 ,139,3 ,Ultimo
603,€ 369.000,5 ,125,2 ,2
604,€ 289.000,4 ,110,2 ,1
607,€ 110.000,3 ,58,1 ,1
609,€ 155.000,3 ,60,1 ,Ultimo
610,€ 149.000,3 ,63,2 ,Ultimo
611,€ 165.000,2 ,78,1 ,4
612,€ 169.000,5 ,120,2 ,2
613,€ 159.000,3 ,55,1 ,Piano terra
614,€ 119.000,3 ,85,1 ,2
